date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime
2018-04-17 21:39,bag_Of_Words,600,,,0,6.778975963592529,0,1.6382806301116943,62.13250017166138,38379,9594,MLP,45.63460612297058,0.90625083,0.8856577,"[[ 427  251    0    0]
 [  97   49    0    0]
 [ 446 1258    0    0]
 [ 127 6939    0    0]]",0.9704602,0.9248542,7.298567771911621
2018-04-17 21:40,bag_Of_Words,140,,,0,5.9963343143463135,0,1.5503804683685303,44.97841930389404,38379,9594,MLP,30.223737001419067,0.84009486,0.8249948,"[[ 486  192    0    0]
 [ 117   29    0    0]
 [ 676 1028    0    0]
 [ 400 6666    0    0]]",0.9757423,0.8661956,6.940646171569824
2018-04-17 21:41,bag_Of_Words,600,,,0,6.291879415512085,0,1.5836317539215088,58.87877321243286,38379,9594,MLP,43.94269776344299,0.89270175,0.8770065,"[[ 389  289    0    0]
 [ 114   32    0    0]
 [ 514 1190    0    0]
 [ 163 6903    0    0]]",0.96565247,0.9112831,6.520814418792725
2018-04-17 21:42,bag_Of_Words,140,,,0,6.3226258754730225,0,1.573728322982788,43.0550434589386,38379,9594,MLP,28.08312487602234,0.8370984,0.8256202,"[[ 478  200    0    0]
 [ 126   20    0    0]
 [ 795  909    0    0]
 [ 274 6792    0    0]]",0.97475064,0.86597127,6.796765089035034
2018-04-17 21:42,bag_Of_Words,8,,,0,6.125128507614136,0,1.5725572109222412,43.43676424026489,38379,9594,MLP,28.741182804107666,0.73175436,0.73712736,"[[ 676    2    0    0]
 [ 146    0    0    0]
 [1685   19    0    0]
 [  15 7051    0    0]]",0.9997172,0.7929565,6.7616965770721436
2018-04-17 21:43,bag_Of_Words,600,,,0,6.637585163116455,0,1.6272826194763184,57.36766839027405,38379,9594,RF,41.25043487548828,0.9940331952369785,0.9149468417761101,"[[ 421   46   98  113]
 [  45   56   22   23]
 [  94   29 1434  147]
 [  86    6  107 6867]]",0.9149468417761101,0.9149468417761101,7.28794002532959
2018-04-17 21:44,bag_Of_Words,140,,,0,6.526896715164185,0,1.5866646766662598,29.01923632621765,38379,9594,RF,13.544010400772095,0.9466114281247557,0.8646028767979987,"[[ 340   44   87  207]
 [  36   51   14   45]
 [ 106   20 1204  374]
 [ 105   15  246 6700]]",0.8646028767979987,0.8646028767979987,7.039753437042236
2018-04-17 21:45,bag_Of_Words,600,,,0,6.590888023376465,0,1.6033763885498047,58.80950856208801,38379,9594,RF,42.82545876502991,0.9940331952369785,0.9140087554721701,"[[ 412   43  110  113]
 [  44   56   23   23]
 [  94   28 1431  151]
 [  85    8  103 6870]]",0.9140087554721701,0.9140087554721701,7.215275049209595
2018-04-17 21:45,bag_Of_Words,140,,,0,6.4255897998809814,0,1.6509602069854736,29.893527269363403,38379,9594,RF,14.242181301116943,0.9466374840407514,0.8639774859287055,"[[ 333   44   89  212]
 [  35   52   13   46]
 [ 107   28 1193  376]
 [  98   15  242 6711]]",0.8639774859287055,0.8639774859287055,7.291010856628418
2018-04-17 21:46,bag_Of_Words,8,,,0,6.693651437759399,0,1.7868330478668213,19.84685707092285,38379,9594,RF,3.335458517074585,0.8102608197191172,0.7845528455284553,"[[ 118   17   78  465]
 [   6   26    7  107]
 [  41    8  603 1052]
 [  47    6  233 6780]]",0.7845528455284553,0.7845528455284553,7.786421537399292
