date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,min_df,max_df
2018-04-18 21:33,bag_Of_Words,600,,,0,6.14,0,1.52,55.48,38379,9594,MLP,40.79,0.91,0.89,"[[ 408  270    0    0]
 [ 100   46    0    0]
 [ 410 1294    0    0]
 [ 124 6942    0    0]]",0.97,0.93,6.53,1,1.0
2018-04-18 21:34,bag_Of_Words,140,,,0,5.92,0,1.53,40.02,38379,9594,MLP,26.06,0.84,0.83,"[[ 551  127    0    0]
 [ 133   13    0    0]
 [ 826  878    0    0]
 [ 155 6911    0    0]]",0.98,0.88,6.24,0.1,1.0
2018-04-18 21:35,bag_Of_Words,600,,,0,6.17,0,1.5,55.74,38379,9594,MLP,41.33,0.91,0.89,"[[ 348  330    0    0]
 [ 102   44    0    0]
 [ 453 1251    0    0]
 [ 154 6912    0    0]]",0.96,0.92,6.24,1,0.8
2018-04-18 21:36,bag_Of_Words,140,,,0,5.87,0,1.47,39.73,38379,9594,MLP,25.89,0.84,0.83,"[[ 480  198    0    0]
 [ 135   11    0    0]
 [ 757  947    0    0]
 [ 291 6775    0    0]]",0.98,0.87,6.24,0.1,0.8
2018-04-18 21:36,bag_Of_Words,8,,,0,5.85,0,1.48,36.38,38379,9594,MLP,22.65,0.73,0.74,"[[ 678    0    0    0]
 [ 146    0    0    0]
 [1692   12    0    0]
 [   8 7058    0    0]]",1.0,0.79,6.19,0.25,0.75
2018-04-18 21:37,bag_Of_Words,600,,,0,6.06,0,1.5,49.91,38379,9594,RF,35.43,0.99,0.92,"[[ 419   44  101  114]
 [  46   51   24   25]
 [  90   27 1437  150]
 [  85    5  103 6873]]",0.92,0.92,6.42,1,1.0
2018-04-18 21:37,bag_Of_Words,140,,,0,5.86,0,1.48,25.89,38379,9594,RF,11.99,0.95,0.86,"[[ 337   47   83  211]
 [  32   53   14   47]
 [  99   26 1207  372]
 [  98   15  256 6697]]",0.86,0.86,6.31,0.1,1.0
2018-04-18 21:38,bag_Of_Words,600,,,0,6.09,0,1.51,49.54,38379,9594,RF,34.85,0.99,0.91,"[[ 421   42   99  116]
 [  43   57   22   24]
 [  88   28 1440  148]
 [  90    7  109 6860]]",0.91,0.91,6.61,1,0.8
2018-04-18 21:39,bag_Of_Words,140,,,0,5.88,0,1.47,25.72,38379,9594,RF,11.83,0.95,0.86,"[[ 335   47   85  211]
 [  34   54   11   47]
 [ 102   25 1199  378]
 [ 101   12  252 6701]]",0.86,0.86,6.28,0.1,0.8
2018-04-18 21:39,bag_Of_Words,8,,,0,5.86,0,1.45,16.67,38379,9594,RF,2.92,0.81,0.78,"[[ 124   13   79  462]
 [   9   24    8  105]
 [  42    6  611 1045]
 [  52    6  239 6769]]",0.78,0.78,6.24,0.25,0.75
2018-04-18 21:40,bag_Of_Words,600,,,0,6.11,0,1.76,56.38,38379,11993,MLP,41.69,0.91,0.66,"[[ 658  221    0    0]
 [ 271   10    0    0]
 [1104 1001    0    0]
 [2007 6721    0    0]]",0.97,0.7,6.32,1,1.0
2018-04-18 21:41,bag_Of_Words,140,,,0,5.91,0,1.76,40.04,38379,11993,MLP,25.88,0.83,0.67,"[[ 777  102    0    0]
 [ 280    1    0    0]
 [1275  830    0    0]
 [1679 7049    0    0]]",0.99,0.71,6.24,0.1,1.0
2018-04-18 21:42,bag_Of_Words,600,,,0,6.07,0,1.76,55.48,38379,11993,MLP,40.83,0.91,0.64,"[[ 659  220    0    0]
 [ 275    6    0    0]
 [1101 1004    0    0]
 [2223 6505    0    0]]",0.97,0.68,6.29,1,0.8
