date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime
2018-04-21 10:41,bag_Of_Words,600,,,0,6.57,0,1.61,52.97,38379,9594,1,1.0,MLP,37.44,0.91,0.89,"[[ 328   26   82  242]
 [  40   43   19   44]
 [  86   18 1241  359]
 [  50   10   53 6953]]",0.96,0.98,6.84
2018-04-21 10:41,bag_Of_Words,140,,,0,6.13,0,1.55,38.62,38379,9594,0.1,1.0,MLP,24.21,0.83,0.82,"[[ 121    9  112  436]
 [  21   14   23   88]
 [  33    6  847  818]
 [  26    1  122 6917]]",0.94,0.99,6.48
2018-04-21 10:42,bag_Of_Words,600,,,0,6.37,0,1.6,54.17,38379,9594,1,0.8,MLP,39.3,0.91,0.89,"[[ 274   34  100  270]
 [  36   48   15   47]
 [  62   16 1232  394]
 [  42   10   53 6961]]",0.96,0.98,6.43
2018-04-21 10:43,bag_Of_Words,140,,,0,6.16,0,1.54,38.89,38379,9594,0.1,0.8,MLP,24.41,0.84,0.82,"[[ 137    7  155  379]
 [  31    8   25   82]
 [  26    3 1045  630]
 [  48    1  311 6706]]",0.94,0.99,6.51
2018-04-21 10:43,bag_Of_Words,8,,,0,6.07,0,1.53,33.49,38379,9594,0.25,0.75,MLP,19.31,0.73,0.74,"[[   1    0    7  670]
 [   0    0    2  144]
 [   3    0   18 1683]
 [   0    0   14 7052]]",0.93,1.0,6.37
2018-04-21 10:44,bag_Of_Words,600,,,0,6.4,0,1.58,49.66,38379,9594,1,1.0,RF,34.74,0.99,0.91,"[[ 418   41  104  115]
 [  44   56   22   24]
 [  95   28 1438  143]
 [  87    8  111 6860]]",0.91,0.91,6.47
2018-04-21 10:45,bag_Of_Words,140,,,0,6.2,0,1.54,25.68,38379,9594,0.1,1.0,RF,11.25,0.95,0.87,"[[ 335   48   84  211]
 [  33   57   11   45]
 [ 108   27 1197  372]
 [  98   12  244 6712]]",0.86,0.87,6.45
2018-04-21 10:45,bag_Of_Words,600,,,0,6.44,0,1.6,49.47,38379,9594,1,0.8,RF,34.49,0.99,0.91,"[[ 409   48  103  118]
 [  42   61   20   23]
 [  95   30 1436  143]
 [  90    7  108 6861]]",0.91,0.91,6.49
2018-04-21 10:46,bag_Of_Words,140,,,0,6.22,0,1.57,25.94,38379,9594,0.1,0.8,RF,11.4,0.95,0.86,"[[ 334   45   89  210]
 [  36   54   12   44]
 [  97   25 1202  380]
 [ 103   14  248 6701]]",0.86,0.86,6.45
2018-04-21 10:46,bag_Of_Words,8,,,0,6.27,0,1.54,17.33,38379,9594,0.25,0.75,RF,2.84,0.81,0.78,"[[ 117   17   85  459]
 [   9   25    8  104]
 [  41    5  605 1053]
 [  48    7  241 6770]]",0.75,0.78,6.48
2018-04-21 10:47,bag_Of_Words,600,,,0,6.38,0,1.84,51.72,38379,11993,1,1.0,MLP,36.53,0.92,0.67,"[[ 222    5  140  512]
 [  50    8   40  183]
 [ 147    2 1028  928]
 [ 730    8 1224 6766]]",0.94,0.92,6.51
2018-04-21 10:48,bag_Of_Words,140,,,0,6.14,0,1.82,39.68,38379,11993,0.1,1.0,MLP,25.03,0.83,0.68,"[[  78    2  134  665]
 [  12    1   30  238]
 [  54    1  695 1355]
 [ 238    2 1107 7381]]",0.93,0.97,6.44
2018-04-21 10:49,bag_Of_Words,600,,,0,6.42,0,1.85,52.78,38379,11993,1,0.8,MLP,37.41,0.91,0.67,"[[ 220    6  190  463]
 [  29    5   51  196]
 [ 149    2  940 1014]
 [ 589    0 1270 6869]]",0.94,0.93,6.62
