date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK
2018-04-23 20:43,bag_Of_Words,600,,,0,6.34,0,1.55,61.68,38379,9594,1,1.0,MLP,46.09,0.91,0.89,"[[ 295   32  149  202]
 [  37   42   23   44]
 [  49   17 1391  247]
 [  61    9  160 6836]]",0.96,0.98,7.1,0.88,0.89
2018-04-23 20:44,bag_Of_Words,140,,,0,5.93,0,1.51,43.46,38379,9594,0.1,1.0,MLP,29.2,0.84,0.82,"[[ 192    5  111  370]
 [  35   13   22   76]
 [  61    4  993  646]
 [  70    4  288 6704]]",0.95,0.98,6.55,0.8,0.82
2018-04-23 20:45,bag_Of_Words,600,,,0,6.32,0,1.58,61.99,38379,9594,1,0.8,MLP,46.93,0.91,0.89,"[[ 328   27  101  222]
 [  40   47   19   40]
 [  74   19 1285  326]
 [  50    8  118 6890]]",0.96,0.98,6.58,0.88,0.89
2018-04-23 20:46,bag_Of_Words,140,,,0,6.01,0,1.51,43.19,38379,9594,0.1,0.8,MLP,28.79,0.84,0.83,"[[ 193   14  120  351]
 [  27   25   15   79]
 [  51    8 1010  635]
 [  62   11  260 6733]]",0.95,0.98,6.61,0.81,0.83
2018-04-23 20:47,bag_Of_Words,8,,,0,5.86,0,1.46,37.58,38379,9594,0.25,0.75,MLP,23.44,0.73,0.74,"[[   0    0    7  671]
 [   0    0    2  144]
 [   0    0   33 1671]
 [   0    0   26 7040]]",0.93,1.0,6.59,0.63,0.74
2018-04-23 20:47,bag_Of_Words,600,,,0,6.39,0,1.56,57.91,38379,9594,1,1.0,RF,42.33,0.99,0.92,"[[ 406   47  103  122]
 [  43   57   20   26]
 [  88   26 1448  142]
 [  83    6  103 6874]]",0.91,0.92,7.09,0,0
2018-04-23 20:48,bag_Of_Words,140,,,0,6.04,0,1.55,28.63,38379,9594,0.1,1.0,RF,13.57,0.95,0.86,"[[ 333   46   87  212]
 [  35   55   13   43]
 [ 103   26 1204  371]
 [ 102   14  244 6706]]",0.86,0.86,7.19,0,0
2018-04-23 20:49,bag_Of_Words,600,,,0,6.29,0,1.58,57.77,38379,9594,1,0.8,RF,42.3,0.99,0.92,"[[ 419   43  103  113]
 [  41   58   22   25]
 [  94   26 1443  141]
 [  88    6  102 6870]]",0.91,0.92,7.05,0,0
2018-04-23 20:49,bag_Of_Words,140,,,0,6.09,0,1.51,28.35,38379,9594,0.1,0.8,RF,13.38,0.95,0.87,"[[ 336   48   88  206]
 [  33   53   13   47]
 [  94   23 1208  379]
 [ 102   12  243 6709]]",0.86,0.87,7.11,0,0
2018-04-23 20:50,bag_Of_Words,8,,,0,6.06,0,1.49,18.02,38379,9594,0.25,0.75,RF,3.11,0.81,0.79,"[[ 123   16   79  460]
 [   9   23    7  107]
 [  40    6  612 1046]
 [  53    8  230 6775]]",0.76,0.79,7.14,0,0
2018-04-23 20:51,bag_Of_Words,600,,,0,6.3,0,1.82,62.0,38379,11993,1,1.0,MLP,46.5,0.91,0.63,"[[ 253    9  151  466]
 [  69   10   42  160]
 [ 166    4 1057  878]
 [ 934    5 1594 6195]]",0.94,0.89,6.82,0.67,0.63
2018-04-23 20:51,bag_Of_Words,140,,,0,5.93,0,1.76,43.7,38379,11993,0.1,1.0,MLP,29.1,0.83,0.71,"[[  96    3  106  674]
 [   8    3   37  233]
 [  70    2  643 1390]
 [ 128    3  804 7793]]",0.93,0.98,6.64,0.66,0.71
2018-04-23 20:53,bag_Of_Words,600,,,0,6.24,0,1.83,61.92,38379,11993,1,0.8,MLP,46.34,0.91,0.68,"[[ 197    9  109  564]
 [  38    4   17  222]
 [ 182    2  824 1097]
 [ 580    5 1008 7135]]",0.94,0.93,6.92,0.67,0.68
2018-04-23 20:53,bag_Of_Words,140,,,0,5.91,0,1.79,42.78,38379,11993,0.1,0.8,MLP,28.3,0.84,0.68,"[[ 131    2  117  629]
 [  10    3   49  219]
 [  92    3  754 1256]
 [ 261    1 1169 7297]]",0.93,0.97,6.5,0.66,0.68
2018-04-23 20:54,bag_Of_Words,8,,,0,5.92,0,1.72,38.48,38379,11993,0.25,0.75,MLP,23.99,0.73,0.73,"[[   0    0    3  876]
 [   0    0    0  281]
 [   0    0   17 2088]
 [   0    0   29 8699]]",0.93,1.0,6.62,0.59,0.73
2018-04-23 20:55,bag_Of_Words,600,,,0,6.31,0,1.81,59.02,38379,11993,1,1.0,RF,43.27,0.99,0.77,"[[ 111    8   87  673]
 [   8    9   27  237]
 [  29    4  725 1347]
 [  30    1  312 8385]]",0.74,0.77,7.06,0,0
2018-04-23 20:55,bag_Of_Words,140,,,0,6.06,0,1.75,28.3,38379,11993,0.1,1.0,RF,13.19,0.95,0.73,"[[  95   12   94  678]
 [   5    8   32  236]
 [  28    3  691 1383]
 [  32    4  727 7965]]",0.69,0.73,7.01,0,0
2018-04-23 20:56,bag_Of_Words,600,,,0,6.35,0,1.86,57.36,38379,11993,1,0.8,RF,41.5,0.99,0.77,"[[ 103    7   74  695]
 [   8    8   29  236]
 [  25    4  747 1329]
 [  40    1  306 8381]]",0.74,0.77,7.09,0,0
2018-04-23 20:57,bag_Of_Words,140,,,0,6.07,0,1.77,28.75,38379,11993,0.1,0.8,RF,13.55,0.95,0.73,"[[ 107    9   82  681]
 [   8    8   28  237]
 [  25    3  731 1346]
 [  38    4  800 7886]]",0.7,0.73,7.06,0,0
2018-04-23 20:57,bag_Of_Words,8,,,0,5.96,0,1.74,18.05,38379,11993,0.25,0.75,RF,3.09,0.81,0.64,"[[  42    4  115  718]
 [   7    4   30  240]
 [  72    5  424 1604]
 [ 341   16 1156 7215]]",0.59,0.64,7.02,0,0
