date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-02 16:23,bag_Of_Words,600,,,0,6.31,0,1.48,151.45,39220,9805,1,1.0,MLP,123.92,0.96,0.62,"[[ 290   29  176  235]
 [  43   28   88   80]
 [ 182   22 1020  476]
 [ 839  117 1415 4765]]",0.95,0.88,6.77,0.71,0.62,all
2018-05-02 16:25,bag_Of_Words,138,,,0,5.78,0,1.52,93.38,39220,9805,0.1,1.0,MLP,77.33,0.87,0.52,"[[ 264   52  206  208]
 [  51   39   76   73]
 [ 212   50  960  478]
 [ 824  350 2154 3808]]",0.94,0.88,6.18,0.67,0.52,all
2018-05-02 16:27,bag_Of_Words,600,,,0,5.88,0,1.5,149.02,39220,9805,1,0.8,MLP,123.02,0.95,0.65,"[[ 255   11  139  325]
 [  49   13   53  124]
 [ 181   15  934  570]
 [ 649   30 1280 5177]]",0.95,0.9,6.21,0.7,0.65,all
2018-05-02 16:29,bag_Of_Words,138,,,0,5.67,0,1.45,93.37,39220,9805,0.1,0.8,MLP,76.8,0.87,0.6,"[[ 233   30  117  350]
 [  28   34   48  129]
 [ 158   36  729  777]
 [ 744  245 1288 4859]]",0.94,0.9,6.19,0.65,0.6,all
2018-05-02 16:30,bag_Of_Words,6,,,0,5.65,0,1.44,83.7,39220,9805,0.25,0.75,MLP,69.41,0.46,0.24,"[[ 303  139  213   75]
 [  90   49   67   33]
 [ 493  253  701  253]
 [2023 1406 2399 1308]]",0.94,0.71,6.18,0.61,0.24,all
2018-05-02 16:32,bag_Of_Words,600,,,0,5.87,0,1.47,138.22,39220,9805,1,1.0,RF,112.07,1.0,0.72,"[[ 264    5  113  348]
 [  59   10   41  129]
 [ 125    5  785  785]
 [ 597    5  568 5966]]",0.72,0.72,6.26,0,0,all
2018-05-02 16:33,bag_Of_Words,138,,,0,6.15,0,1.51,61.54,39220,9805,0.1,1.0,RF,43.76,0.97,0.59,"[[ 241   11  201  277]
 [  42   12  100   85]
 [ 135    9  965  591]
 [ 565   37 1998 4536]]",0.68,0.59,6.81,0,0,all
2018-05-02 16:36,bag_Of_Words,600,,,0,6.18,0,1.52,138.52,39220,9805,1,0.8,RF,111.03,1.0,0.72,"[[ 251    7  107  365]
 [  58   12   37  132]
 [  91    5  817  787]
 [ 536   13  614 5973]]",0.72,0.72,6.95,0,0,all
2018-05-02 16:37,bag_Of_Words,138,,,0,5.88,0,1.43,59.11,39220,9805,0.1,0.8,RF,41.97,0.97,0.59,"[[ 248    7  200  275]
 [  49    8   84   98]
 [ 122   10  967  601]
 [ 590   22 1958 4566]]",0.67,0.59,6.56,0,0,all
2018-05-02 16:37,bag_Of_Words,6,,,0,5.85,0,1.47,25.38,39220,9805,0.25,0.75,RF,10.3,0.7,0.4,"[[ 275   71  119  265]
 [  89   26   30   94]
 [ 420   88  567  625]
 [1775  581 1703 3077]]",0.6,0.4,6.74,0,0,all
2018-05-02 16:40,bag_Of_Words,600,,,0,6.14,0,1.86,150.53,39220,10935,1,1.0,MLP,123.55,0.96,0.66,"[[ 395   34  224  191]
 [  46   46   34   79]
 [ 235   27 1352  424]
 [ 810  119 1456 5463]]",0.95,0.89,6.52,0.74,0.66,all
2018-05-02 16:41,bag_Of_Words,138,,,0,5.72,0,1.8,92.43,39220,10935,0.1,1.0,MLP,75.98,0.88,0.56,"[[ 379   25  145  295]
 [  59   20   38   88]
 [ 301   57 1067  613]
 [1383  133 1652 4680]]",0.95,0.83,6.17,0.68,0.56,all
2018-05-02 16:44,bag_Of_Words,600,,,0,5.91,0,1.97,150.01,39220,10935,1,0.8,MLP,123.19,0.95,0.63,"[[ 403   53  211  177]
 [  68   45   45   47]
 [ 245   26 1446  321]
 [ 877  148 1849 4974]]",0.95,0.88,6.17,0.75,0.63,all
2018-05-02 16:45,bag_Of_Words,138,,,0,5.66,0,1.88,93.16,39220,10935,0.1,0.8,MLP,76.53,0.88,0.54,"[[ 358   35  216  235]
 [  60   20   46   79]
 [ 292   87 1075  584]
 [1006  231 2191 4420]]",0.95,0.87,6.14,0.67,0.54,all
2018-05-02 16:47,bag_Of_Words,6,,,0,5.67,0,1.81,88.36,39220,10935,0.25,0.75,MLP,73.66,0.45,0.34,"[[ 386  105  220  133]
 [  74   28   56   47]
 [ 674  154  822  388]
 [2297  578 2523 2450]]",0.94,0.7,6.22,0.63,0.34,all
2018-05-02 16:49,bag_Of_Words,600,,,0,5.92,0,1.95,134.66,39220,10935,1,1.0,RF,108.0,1.0,0.71,"[[ 365    2  219  258]
 [  53   10   66   76]
 [ 141    0 1321  576]
 [ 619   14 1104 6111]]",0.75,0.71,6.25,0,0,all
2018-05-02 16:50,bag_Of_Words,138,,,0,5.91,0,1.85,58.87,39220,10935,0.1,1.0,RF,41.12,0.97,0.55,"[[ 301    0  282  261]
 [  62    1   66   76]
 [ 162    0 1344  532]
 [ 961    0 2565 4322]]",0.69,0.55,6.54,0,0,all
2018-05-02 16:52,bag_Of_Words,600,,,0,6.09,0,1.85,138.26,39220,10935,1,0.8,RF,111.18,1.0,0.73,"[[ 389    1  203  251]
 [  56    8   55   86]
 [ 163    0 1373  502]
 [ 533    9 1049 6257]]",0.76,0.73,6.56,0,0,all
2018-05-02 16:53,bag_Of_Words,138,,,0,5.93,0,1.81,58.27,39220,10935,0.1,0.8,RF,41.31,0.97,0.55,"[[ 328    0  266  250]
 [  49    1   77   78]
 [ 183    0 1291  564]
 [ 864    0 2600 4384]]",0.69,0.55,6.43,0,0,all
2018-05-02 16:54,bag_Of_Words,6,,,0,5.74,0,1.81,24.9,39220,10935,0.25,0.75,RF,9.96,0.7,0.42,"[[ 256   96  183  309]
 [  60   26   46   73]
 [ 451  176  776  635]
 [1443  677 2199 3529]]",0.61,0.42,6.4,0,0,all
