date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-02 11:44,bag_Of_Words,600,,,0,6.03,0,1.45,86.44,39220,9805,1,1.0,MLP,71.08,0.95,0.68,"[[ 165   37  121  407]
 [  25   28   49  137]
 [ 113   33  780  774]
 [ 416  111  932 5677]]",0.94,0.94,6.39,0.68,0.68,minority
2018-05-02 11:45,bag_Of_Words,138,,,0,5.75,0,1.43,58.51,39220,9805,0.1,1.0,MLP,44.47,0.89,0.64,"[[  38   71   92  529]
 [   6   39   24  170]
 [  41   86  594  979]
 [ 108  468  940 5620]]",0.93,0.98,6.19,0.64,0.64,minority
2018-05-02 11:46,bag_Of_Words,600,,,0,6.1,0,1.47,85.09,39220,9805,1,0.8,MLP,69.99,0.95,0.64,"[[ 212   35  130  353]
 [  38   31   33  137]
 [ 124   49  873  654]
 [ 633  123 1238 5142]]",0.94,0.91,6.14,0.68,0.64,minority
2018-05-02 11:47,bag_Of_Words,138,,,0,5.7,0,1.41,57.56,39220,9805,0.1,0.8,MLP,43.67,0.9,0.64,"[[  74   64  118  474]
 [   8   45   35  151]
 [  30   73  668  929]
 [ 170  431 1075 5460]]",0.93,0.98,6.12,0.65,0.64,minority
2018-05-02 11:48,bag_Of_Words,6,,,0,5.69,0,1.42,53.52,39220,9805,0.25,0.75,MLP,39.71,0.63,0.57,"[[   0  184    4  542]
 [   0   54    0  185]
 [   0  363   35 1302]
 [   0 1576   60 5500]]",0.93,1.0,6.19,0.59,0.57,minority
2018-05-02 11:49,bag_Of_Words,600,,,0,6.02,0,1.46,66.4,39220,9805,1,1.0,RF,51.42,1.0,0.77,"[[  80   11   48  591]
 [   4   10   12  213]
 [  21    5  512 1162]
 [  28   15  182 6911]]",0.74,0.77,6.17,0,0,minority
2018-05-02 11:50,bag_Of_Words,138,,,0,5.89,0,1.43,34.22,39220,9805,0.1,1.0,RF,19.89,0.97,0.73,"[[  76   14   43  597]
 [   3   16   13  207]
 [  16   19  477 1188]
 [  22   82  454 6578]]",0.69,0.73,6.34,0,0,minority
2018-05-02 11:51,bag_Of_Words,600,,,0,5.96,0,1.47,64.72,39220,9805,1,0.8,RF,49.59,1.0,0.77,"[[  76   12   49  593]
 [   2   16   12  209]
 [  24   10  502 1164]
 [  32   20  166 6918]]",0.74,0.77,6.35,0,0,minority
2018-05-02 11:51,bag_Of_Words,138,,,0,5.93,0,1.48,34.95,39220,9805,0.1,0.8,RF,20.45,0.97,0.74,"[[  71   19   42  598]
 [   2   12   14  211]
 [  15   14  504 1167]
 [  21   75  389 6651]]",0.7,0.74,6.41,0,0,minority
2018-05-02 11:52,bag_Of_Words,6,,,0,5.83,0,1.47,19.45,39220,9805,0.25,0.75,RF,5.19,0.8,0.58,"[[  20   96   70  544]
 [  10   37   15  177]
 [  23  160  289 1228]
 [ 146  815  790 5385]]",0.59,0.58,6.44,0,0,minority
