date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-05 11:28,bag_Of_Words,600,,,0,5.99,0,1.48,58.75,39220,9805,1,1.0,MLP,44.1,0.91,0.7,"[[ 153    3  111  463]
 [  29    3   30  177]
 [  84    2  736  878]
 [ 439    1  754 5942]]",0.94,0.94,6.62,0.68,0.7,
2018-05-05 11:28,bag_Of_Words,138,,,0,5.71,0,1.44,42.45,39220,9805,0.1,1.0,MLP,28.5,0.85,0.66,"[[  98    1  135  496]
 [  10    2   42  185]
 [  32    1  783  884]
 [ 235    1 1354 5546]]",0.93,0.97,6.52,0.66,0.66,
2018-05-05 11:29,bag_Of_Words,600,,,0,6.1,0,1.51,59.05,39220,9805,1,0.8,MLP,44.33,0.91,0.65,"[[ 221    3   86  420]
 [  65    4   29  141]
 [ 210    2  774  714]
 [ 859    6  930 5341]]",0.94,0.88,6.53,0.68,0.65,
2018-05-05 11:30,bag_Of_Words,138,,,0,5.89,0,1.47,43.74,39220,9805,0.1,0.8,MLP,29.33,0.84,0.69,"[[  45    3   98  584]
 [   5    0   22  212]
 [  19    2  605 1074]
 [ 106    2  875 6153]]",0.93,0.99,6.78,0.64,0.69,
2018-05-05 11:31,bag_Of_Words,6,,,0,6.0,0,1.5,41.48,39220,9805,0.25,0.75,MLP,27.28,0.74,0.73,"[[   0    0    2  728]
 [   0    0    0  239]
 [   0    0   18 1682]
 [   0    0   28 7108]]",0.93,1.0,6.47,0.6,0.73,
2018-05-05 11:32,bag_Of_Words,600,,,0,6.28,0,1.6,58.74,39220,9805,1,1.0,RF,42.99,0.99,0.77,"[[  86    2   67  575]
 [   3    8   20  208]
 [  25    5  625 1045]
 [  53    1  262 6820]]",0.74,0.77,7.32,0,0,
2018-05-05 11:32,bag_Of_Words,138,,,0,5.95,0,1.44,27.25,39220,9805,0.1,1.0,RF,12.82,0.95,0.73,"[[  81    6   67  576]
 [   4    5   29  201]
 [  20    4  601 1075]
 [  33    3  625 6475]]",0.7,0.73,6.77,0,0,
2018-05-05 11:33,bag_Of_Words,600,,,0,6.14,0,1.47,56.4,39220,9805,1,0.8,RF,41.73,0.99,0.76,"[[  84    2   73  571]
 [   7    7   19  206]
 [  17    5  647 1031]
 [  32    2  402 6700]]",0.73,0.76,6.5,0,0,
2018-05-05 11:33,bag_Of_Words,138,,,0,5.96,0,1.44,27.78,39220,9805,0.1,0.8,RF,13.58,0.95,0.72,"[[  86    7   76  561]
 [   4    4   33  198]
 [  18    3  634 1045]
 [  40    3  761 6332]]",0.69,0.72,6.52,0,0,
2018-05-05 11:34,bag_Of_Words,6,,,0,5.91,0,1.51,16.88,39220,9805,0.25,0.75,RF,2.76,0.8,0.65,"[[  19    3   78  630]
 [  13    2   20  204]
 [  33    1  320 1346]
 [ 165    6  912 6053]]",0.59,0.65,6.48,0,0,
