date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-16 17:34,bag_Of_Words,600,337.19,39220,9805,1,1.0,MLP,312.01,0.96,0.66,0.96,0.69,0.96,0.66,"[[ 248   22  117  343]
 [  52   20   59  108]
 [ 146   21  917  616]
 [ 564   85 1248 5239]]",6.7,all
2018-06-16 18:05,bag_Of_Words,600,397.06,39220,9805,1,1.0,MLP,369.97,0.96,0.63,0.96,0.7,0.96,0.63,"[[ 271   17  139  303]
 [  39   17   76  107]
 [ 267   18  957  458]
 [ 865   66 1290 4915]]",7.06,all
2018-06-16 18:08,bag_Of_Words,138,184.62,39220,9805,0.1,1.0,MLP,167.07,0.89,0.56,0.89,0.66,0.89,0.56,"[[ 274   23  149  284]
 [  43   32   70   94]
 [ 236   27  844  593]
 [ 765  138 1936 4297]]",7.0,all
2018-06-16 18:13,bag_Of_Words,600,340.67,39220,9805,1,0.8,MLP,315.59,0.96,0.67,0.96,0.7,0.96,0.67,"[[ 238   19  112  361]
 [  47   19   54  119]
 [ 148   15  886  651]
 [ 540  100 1033 5463]]",6.45,all
2018-06-16 18:16,bag_Of_Words,138,186.87,39220,9805,0.1,0.8,MLP,169.9,0.89,0.55,0.89,0.67,0.89,0.55,"[[ 277   31  183  239]
 [  50   30   80   79]
 [ 217   57  842  584]
 [ 807  326 1730 4273]]",6.51,all
2018-06-16 18:19,bag_Of_Words,6,130.58,39220,9805,0.25,0.75,MLP,115.37,0.45,0.34,0.44,0.61,0.45,0.34,"[[ 210  133  179  208]
 [  64   36   68   71]
 [ 361  267  631  441]
 [1354 1198 2163 2421]]",6.5,all
2018-06-16 18:21,bag_Of_Words,600,153.62,39220,9805,1,1.0,RF,128.37,1.0,0.7,1.0,0.71,1.0,0.7,"[[ 275    6  104  345]
 [  56   13   45  125]
 [ 141    6  784  769]
 [ 634    8  659 5835]]",6.61,all
2018-06-16 18:22,bag_Of_Words,138,68.6,39220,9805,0.1,1.0,RF,51.15,0.97,0.58,0.97,0.67,0.97,0.58,"[[ 263    9  179  279]
 [  49    9   70  111]
 [ 126    6  971  597]
 [ 656   25 1965 4490]]",6.92,all
2018-06-16 18:25,bag_Of_Words,600,151.53,39220,9805,1,0.8,RF,126.05,1.0,0.72,1.0,0.72,1.0,0.72,"[[ 265    6  122  337]
 [  56   11   44  128]
 [ 130    5  796  769]
 [ 568    6  623 5939]]",6.81,all
2018-06-16 18:26,bag_Of_Words,138,67.87,39220,9805,0.1,0.8,RF,50.61,0.97,0.58,0.97,0.67,0.97,0.58,"[[ 255    8  199  268]
 [  56   11   92   80]
 [ 140    7  939  614]
 [ 624   24 2007 4481]]",6.69,all
