date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-17 12:16,bag_Of_Words,600,125.68,38379,9594,1,1.0,MLP,109.76,0.91,0.89,0.91,0.89,0.91,0.89,"[[ 369   27  113  169]
 [  39   50   27   30]
 [  78   19 1404  203]
 [ 127   20  212 6707]]",7.15,
2018-06-17 12:17,bag_Of_Words,140,72.84,38379,9594,0.1,1.0,MLP,57.91,0.83,0.82,0.82,0.81,0.83,0.82,"[[ 138    9   96  435]
 [  24   16   15   91]
 [  43    6  820  835]
 [  32    3  101 6930]]",6.81,
2018-06-17 12:19,bag_Of_Words,600,124.13,38379,9594,1,0.8,MLP,108.75,0.91,0.89,0.9,0.88,0.91,0.89,"[[ 247   24  151  256]
 [  31   37   25   53]
 [  48   15 1341  300]
 [  24   17  111 6914]]",6.71,
2018-06-17 12:20,bag_Of_Words,140,74.27,38379,9594,0.1,0.8,MLP,59.35,0.83,0.82,0.82,0.8,0.83,0.82,"[[ 122    9  137  410]
 [  20   18   18   90]
 [  19    7  946  732]
 [  36    5  250 6775]]",6.83,
2018-06-17 12:21,bag_Of_Words,8,55.98,38379,9594,0.25,0.75,MLP,40.72,0.73,0.74,0.65,0.66,0.73,0.74,"[[   2    0   16  660]
 [   0    0    7  139]
 [   0    0   46 1658]
 [   1    0   46 7019]]",7.02,
2018-06-17 12:22,bag_Of_Words,600,64.03,38379,9594,1,1.0,RF,48.56,0.99,0.91,0.99,0.91,0.99,0.91,"[[ 408   43  109  118]
 [  45   53   23   25]
 [  91   25 1439  149]
 [  91    7  105 6863]]",6.72,
2018-06-17 12:23,bag_Of_Words,140,30.87,38379,9594,0.1,1.0,RF,15.94,0.95,0.87,0.95,0.86,0.95,0.87,"[[ 345   43   83  207]
 [  35   53   15   43]
 [  96   27 1209  372]
 [ 100   12  251 6703]]",6.78,
2018-06-17 12:24,bag_Of_Words,600,64.47,38379,9594,1,0.8,RF,48.88,0.99,0.92,0.99,0.91,0.99,0.92,"[[ 423   46   97  112]
 [  41   58   22   25]
 [  92   25 1431  156]
 [  84    6  104 6872]]",7.05,
2018-06-17 12:24,bag_Of_Words,140,31.34,38379,9594,0.1,0.8,RF,15.94,0.95,0.87,0.95,0.86,0.95,0.87,"[[ 335   51   85  207]
 [  33   53   14   46]
 [ 101   23 1211  369]
 [  94   14  254 6704]]",6.94,
2018-06-17 12:25,bag_Of_Words,8,19.57,38379,9594,0.25,0.75,RF,4.63,0.81,0.78,0.8,0.76,0.81,0.78,"[[ 126   16   81  455]
 [   9   25    9  103]
 [  41    5  599 1059]
 [  56    6  231 6773]]",6.92,
2018-06-17 12:27,bag_Of_Words,600,139.26,38379,11993,1,1.0,MLP,123.28,0.91,0.68,0.91,0.68,0.91,0.68,"[[ 221    5  134  519]
 [  35    8   40  198]
 [ 161    2  946  996]
 [ 596    5 1112 7015]]",6.8,
2018-06-17 12:29,bag_Of_Words,140,93.73,38379,11993,0.1,1.0,MLP,77.25,0.84,0.68,0.83,0.65,0.84,0.68,"[[ 197    2   76  604]
 [  51    1   16  213]
 [ 175    0  580 1350]
 [ 577   27  696 7428]]",7.7,
2018-06-17 12:32,bag_Of_Words,600,177.4,38379,11993,1,0.8,MLP,160.81,0.91,0.68,0.9,0.67,0.91,0.68,"[[ 181    5  140  553]
 [  40    9   24  208]
 [ 148    4  846 1107]
 [ 553    4 1021 7150]]",7.33,
2018-06-17 12:33,bag_Of_Words,140,88.17,38379,11993,0.1,0.8,MLP,71.91,0.83,0.68,0.81,0.64,0.83,0.68,"[[  88    2  127  662]
 [  11    1   38  231]
 [  56    2  693 1354]
 [ 260   12 1024 7432]]",7.42,
2018-06-17 12:34,bag_Of_Words,8,64.81,38379,11993,0.25,0.75,MLP,49.03,0.73,0.72,0.64,0.57,0.73,0.72,"[[   0    0    2  877]
 [   0    0    0  281]
 [   0    0   19 2086]
 [   0    0   71 8657]]",7.55,
2018-06-17 12:35,bag_Of_Words,600,69.0,38379,11993,1,1.0,RF,51.99,0.99,0.77,0.99,0.74,0.99,0.77,"[[ 100    8   84  687]
 [   7    9   22  243]
 [  27    4  715 1359]
 [  25    2  331 8370]]",7.57,
2018-06-17 12:36,bag_Of_Words,140,32.82,38379,11993,0.1,1.0,RF,16.76,0.95,0.74,0.95,0.7,0.95,0.74,"[[  96   12   82  689]
 [   6    8   18  249]
 [  22    4  689 1390]
 [  28    4  669 8027]]",7.25,
2018-06-17 12:37,bag_Of_Words,600,70.51,38379,11993,1,0.8,RF,54.16,0.99,0.77,0.99,0.74,0.99,0.77,"[[ 102    8   94  675]
 [   9    8   22  242]
 [  26    4  738 1337]
 [  31    2  267 8428]]",7.1,
2018-06-17 12:38,bag_Of_Words,140,33.51,38379,11993,0.1,0.8,RF,17.29,0.95,0.73,0.95,0.69,0.95,0.73,"[[  97    8   93  681]
 [   5    7   30  239]
 [  26    3  718 1358]
 [  37    4  795 7892]]",7.44,
2018-06-17 12:38,bag_Of_Words,8,20.59,38379,11993,0.25,0.75,RF,4.75,0.81,0.64,0.8,0.59,0.81,0.64,"[[  39    4  114  722]
 [   6    3   31  241]
 [  67    5  436 1597]
 [ 345   16 1218 7149]]",7.28,
