date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-21 19:08,bag_Of_Words,600,136.8,38379,9594,1,1.0,MLP,120.15,0.91,0.89,0.9,0.88,0.91,0.89,"[[ 315   39   89  235]
 [  32   57   14   43]
 [  95   22 1228  359]
 [  50   12   59 6945]]",7.29,
2018-06-21 19:09,bag_Of_Words,140,69.09,38379,9594,0.1,1.0,MLP,53.92,0.84,0.83,0.83,0.81,0.84,0.83,"[[ 197    9  138  334]
 [  29   21   17   79]
 [  58    6 1020  620]
 [  88   18  257 6703]]",6.78,
2018-06-21 19:11,bag_Of_Words,600,134.74,38379,9594,1,0.8,MLP,119.11,0.91,0.89,0.9,0.88,0.91,0.89,"[[ 327   22   92  237]
 [  45   32   17   52]
 [  87   14 1272  331]
 [  52    3   85 6926]]",6.82,
2018-06-21 19:13,bag_Of_Words,140,72.34,38379,9594,0.1,0.8,MLP,57.03,0.83,0.83,0.82,0.81,0.83,0.83,"[[ 171   10  109  388]
 [  18   24   17   87]
 [  42    9  971  682]
 [  50    5  249 6762]]",6.95,
2018-06-21 19:13,bag_Of_Words,8,53.96,38379,9594,0.25,0.75,MLP,38.97,0.73,0.74,0.63,0.63,0.73,0.74,"[[   0    0   18  660]
 [   0    0    3  143]
 [   0    0   44 1660]
 [   0    0   23 7043]]",6.74,
2018-06-21 19:14,bag_Of_Words,600,56.09,38379,9594,1,1.0,RF,40.45,0.99,0.91,0.99,0.91,0.99,0.91,"[[ 410   44  104  120]
 [  39   57   24   26]
 [  88   26 1436  154]
 [  85    6  101 6874]]",6.87,
2018-06-21 19:15,bag_Of_Words,140,29.79,38379,9594,0.1,1.0,RF,14.11,0.95,0.86,0.95,0.86,0.95,0.86,"[[ 333   46   90  209]
 [  36   53   13   44]
 [  95   26 1194  389]
 [ 105   12  238 6711]]",7.25,
2018-06-21 19:16,bag_Of_Words,600,57.85,38379,9594,1,0.8,RF,41.54,0.99,0.91,0.99,0.91,0.99,0.91,"[[ 414   44  107  113]
 [  45   55   22   24]
 [  95   26 1436  147]
 [  92    7  107 6860]]",7.25,
2018-06-21 19:16,bag_Of_Words,140,31.72,38379,9594,0.1,0.8,RF,15.48,0.95,0.86,0.95,0.86,0.95,0.86,"[[ 335   45   87  211]
 [  33   54   13   46]
 [ 105   24 1191  384]
 [ 100   11  243 6712]]",7.37,
2018-06-21 19:17,bag_Of_Words,8,21.08,38379,9594,0.25,0.75,RF,4.94,0.81,0.78,0.8,0.76,0.81,0.78,"[[ 123   17   85  453]
 [   8   24    8  106]
 [  40    7  610 1047]
 [  53   10  234 6769]]",7.55,
2018-06-21 19:19,bag_Of_Words,600,139.02,38379,11993,1,1.0,MLP,121.84,0.91,0.7,0.9,0.68,0.91,0.7,"[[ 172    7  141  559]
 [  25    3   37  216]
 [ 127    3  997  978]
 [ 445   19 1060 7204]]",7.73,
2018-06-21 19:20,bag_Of_Words,140,77.9,38379,11993,0.1,1.0,MLP,61.73,0.83,0.73,0.82,0.67,0.83,0.73,"[[  59    0   80  740]
 [   6    0   28  247]
 [  35    1  614 1455]
 [  82    0  575 8071]]",7.2,
2018-06-21 19:23,bag_Of_Words,600,154.97,38379,11993,1,0.8,MLP,137.1,0.91,0.69,0.91,0.68,0.91,0.69,"[[ 173    5  128  573]
 [  35    4   40  202]
 [ 135    4  889 1077]
 [ 524    2 1004 7198]]",7.79,
2018-06-21 19:24,bag_Of_Words,140,77.76,38379,11993,0.1,0.8,MLP,61.16,0.83,0.71,0.82,0.64,0.83,0.71,"[[  52    0   88  739]
 [   4    0   36  241]
 [  35    8  600 1462]
 [ 161    4  726 7837]]",7.56,
2018-06-21 19:25,bag_Of_Words,8,60.03,38379,11993,0.25,0.75,MLP,43.87,0.73,0.73,0.65,0.59,0.73,0.73,"[[   0    0    1  878]
 [   0    0    0  281]
 [   0    0   17 2088]
 [   1    0   33 8694]]",7.13,
2018-06-21 19:26,bag_Of_Words,600,58.69,38379,11993,1,1.0,RF,41.46,0.99,0.77,0.99,0.73,0.99,0.77,"[[ 109    7   84  679]
 [  10    8   23  240]
 [  32    5  712 1356]
 [  34    0  331 8363]]",7.58,
2018-06-21 19:27,bag_Of_Words,140,31.48,38379,11993,0.1,1.0,RF,14.74,0.95,0.73,0.95,0.7,0.95,0.73,"[[ 104   11   88  676]
 [   6    8   31  236]
 [  21    3  705 1376]
 [  35    3  752 7938]]",7.44,
2018-06-21 19:28,bag_Of_Words,600,56.89,38379,11993,1,0.8,RF,39.78,0.99,0.77,0.99,0.74,0.99,0.77,"[[ 109    7   87  676]
 [   7    8   29  237]
 [  35    4  742 1324]
 [  28    1  308 8391]]",7.58,
2018-06-21 19:28,bag_Of_Words,140,31.6,38379,11993,0.1,0.8,RF,14.95,0.95,0.73,0.95,0.7,0.95,0.73,"[[  99   10   84  686]
 [   6    8   26  241]
 [  25    4  693 1383]
 [  34    3  697 7994]]",7.63,
2018-06-21 19:29,bag_Of_Words,8,21.23,38379,11993,0.25,0.75,RF,4.79,0.81,0.64,0.8,0.59,0.81,0.64,"[[  41    5  119  714]
 [   7    4   28  242]
 [  69    6  435 1595]
 [ 335   19 1181 7193]]",7.49,
