config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,early_stopping_patience,execution_dir,execution_time
DEFAULT,0.89,0.78,"[[ 268   37  210  215]
 [  26   40   53  120]
 [ 167   73 1130  330]
 [ 171  100  628 6237]]",0.9,0.79,0.89,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-113122/,345.22110533714294
DEFAULT,0.96,0.77,"[[ 385   15  103  227]
 [  68   29   30  112]
 [ 299   44  901  456]
 [ 437   39  422 6238]]",0.96,0.78,0.96,0.77,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-114605/,319.75385999679565
DEFAULT,0.9,0.85,"[[ 579   58  154   53]
 [  33  104   38   30]
 [ 459   60 1365  154]
 [ 191   38  347 7272]]",0.9,0.87,0.9,0.85,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-120016/,369.47117018699646
DEFAULT,0.96,0.83,"[[ 622   32  134   56]
 [  62   85   44   14]
 [ 394   36 1414  194]
 [ 404   33  454 6957]]",0.96,0.86,0.96,0.83,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-121537/,365.5266089439392
DEFAULT,0.96,0.85,"[[ 466   51  229   98]
 [  30   94   56   25]
 [ 223   55 1506  254]
 [ 170   34  457 7187]]",0.96,0.85,0.96,0.85,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-154049/,331.1495130062103
DEFAULT,0.96,0.66,"[[ 248   22  117  343]
 [  52   20   59  108]
 [ 146   21  917  616]
 [ 564   85 1248 5239]]",0.96,0.69,0.96,0.66,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-172934/,309.4031608104706
DEFAULT,0.96,0.63,"[[ 271   17  139  303]
 [  39   17   76  107]
 [ 267   18  957  458]
 [ 865   66 1290 4915]]",0.96,0.7,0.96,0.63,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-175851/,367.2697377204895
DEFAULT,0.89,0.56,"[[ 274   23  149  284]
 [  43   32   70   94]
 [ 236   27  844  593]
 [ 765  138 1936 4297]]",0.89,0.66,0.89,0.56,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-180519/,166.0814290046692
DEFAULT,0.96,0.67,"[[ 238   19  112  361]
 [  47   19   54  119]
 [ 148   15  886  651]
 [ 540  100 1033 5463]]",0.96,0.7,0.96,0.67,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-180831/,312.9767987728119
DEFAULT,0.89,0.55,"[[ 277   31  183  239]
 [  50   30   80   79]
 [ 217   57  842  584]
 [ 807  326 1730 4273]]",0.89,0.67,0.89,0.55,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-16_arquitectura_original_p3_2/20180616/run-FNNClassifier-DEFAULT-181403/,168.91549229621887
