activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,execution_time,execution_dir
relu,base_arquitecture,"[300, 100]",2,GD,0.01,1,20,0.97,0.79,0.97,0.8,0.97,0.79,"[[ 379    8  121  222]
 [  61   20   39  119]
 [ 247   32 1050  371]
 [ 335   27  450 6324]]",2,1.0,0.0,328.1873161792755,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture-164524/
relu,dynamic_learning_rate_0.01_0.95,"[300, 100]",2,GD,0.01,0.95,20,0.92,0.75,0.92,0.77,0.92,0.75,"[[ 367   19  124  220]
 [  60   31   34  114]
 [ 345   56  900  399]
 [ 534   43  537 6022]]",2,1.0,0.0,323.720871925354,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.01_0.95-165256/
relu,dynamic_learning_rate_0.01_0.90,"[300, 100]",2,GD,0.01,0.9,20,0.84,0.68,0.84,0.76,0.84,0.68,"[[ 407   34   88  201]
 [  72   40   27  100]
 [ 411   74  866  349]
 [ 944  124  690 5378]]",2,1.0,0.0,321.9640488624573,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.01_0.90-170027/
relu,dynamic_learning_rate_0.05_0.95,"[300, 100]",2,GD,0.05,0.95,20,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 364    7  105  254]
 [  55   26   31  127]
 [ 213   24  950  513]
 [ 181   10  271 6674]]",2,1.0,0.0,320.7133779525757,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.05_0.95-170755/
relu,dynamic_learning_rate_0.05_0.90,"[300, 100]",2,GD,0.05,0.9,20,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 334   10  117  269]
 [  45   25   32  137]
 [ 190   30 1039  441]
 [ 201   28  322 6585]]",2,1.0,0.0,324.52249693870544,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.05_0.90-171530/
relu,momentum_0.005,"[300, 100]",2,momentum,0.005,1,20,1.0,0.81,1.0,0.81,1.0,0.81,"[[ 414    9  103  204]
 [  57   27   41  114]
 [ 234   24 1034  408]
 [ 290   23  348 6475]]",2,1.0,0.0,329.2487072944641,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-momentum_0.005-172304/
relu,momentum_0.001,"[300, 100]",2,momentum,0.001,1,20,0.97,0.78,0.97,0.79,0.97,0.78,"[[ 386   13   85  246]
 [  65   21   18  135]
 [ 318   41  877  464]
 [ 359   32  351 6394]]",2,1.0,0.0,328.9118506908417,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-momentum_0.001-173040/
relu,base_arquitecture_early_stopping_2_momentum,"[300, 100]",2,momentum,0.001,1,13,0.93,0.75,0.93,0.79,0.93,0.75,"[[ 429   18  125  158]
 [  93   30   29   87]
 [ 359   53  975  313]
 [ 635   45  558 5898]]",2,1.0,0.0,217.49590921401978,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_2_momentum-173817/
relu,base_arquitecture_early_stopping_1.5_momentum,"[300, 100]",2,momentum,0.001,1,12,0.9,0.75,0.91,0.77,0.9,0.75,"[[ 356   39  103  232]
 [  54   38   28  119]
 [ 296   77  907  420]
 [ 487   82  496 6071]]",1.5,1.0,0.0,202.09478044509888,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_1.5_momentum-174402/
relu,base_arquitecture_early_stopping_3_momentum,"[300, 100]",2,momentum,0.001,1,15,0.94,0.76,0.94,0.79,0.94,0.76,"[[ 398   24   96  212]
 [  77   32   25  105]
 [ 355   55  883  407]
 [ 512   47  417 6160]]",3,1.0,0.0,253.74904227256775,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_3_momentum-174931/
