activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,momentumexecution_time,execution_dir
relu,base_arquitecture,"[300, 150, 100]",3,GD,0.01,1,20,0.99,0.81,0.99,0.79,0.99,0.81,"[[ 248   10  113  359]
 [  25   26   39  149]
 [ 131   13  987  569]
 [ 116   10  310 6700]]",2,1.0,0.0,,414.76921105384827,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture-081941/
relu,dynamic_learning_rate_0.01_0.95,"[300, 150, 100]",3,GD,0.01,0.95,20,0.99,0.8,0.99,0.79,0.99,0.8,"[[ 327    5   94  304]
 [  37   21   29  152]
 [ 206   19  927  548]
 [ 282    8  317 6529]]",2,1.0,0.0,,415.61442375183105,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.01_0.95-082847/
relu,dynamic_learning_rate_0.01_0.90,"[300, 150, 100]",3,GD,0.01,0.9,20,0.96,0.77,0.96,0.77,0.96,0.77,"[[ 316    8  105  301]
 [  42   21   18  158]
 [ 238   27  863  572]
 [ 401   10  392 6333]]",2,1.0,0.0,,415.9957945346832,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.01_0.90-083754/
relu,dynamic_learning_rate_0.05_0.95,"[300, 150, 100]",3,GD,0.05,0.95,20,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 331    4   91  304]
 [  40   21   26  152]
 [ 194   13  900  593]
 [ 167    9  224 6736]]",2,1.0,0.0,,420.354692697525,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.05_0.95-084705/
relu,dynamic_learning_rate_0.05_0.90,"[300, 150, 100]",3,GD,0.05,0.9,20,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 372    3  106  249]
 [  53   26   25  135]
 [ 227    8  958  507]
 [ 217    6  266 6647]]",2,1.0,0.0,,417.22162675857544,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.05_0.90-085618/
relu,dynamic_learning_rate_0.09_0.95,"[300, 150, 100]",3,GD,0.05,0.95,20,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 332    6  108  284]
 [  36   22   29  152]
 [ 157   12  965  566]
 [ 132   10  256 6738]]",2,1.0,0.0,,417.01971220970154,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.09_0.95-090529/
relu,dynamic_learning_rate_0.09_0.90,"[300, 150, 100]",3,GD,0.05,0.9,20,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 356    3   92  279]
 [  54   21   26  138]
 [ 199   12  869  620]
 [ 172    6  221 6737]]",2,1.0,0.0,,379.6268877983093,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.09_0.90-091438/
relu,momentum_0.005_nesterov,"[300, 150, 100]",3,momentum,0.005,1,20,1.0,0.82,1.0,0.8,1.0,0.82,"[[ 277    7  110  336]
 [  15   24   27  173]
 [ 155   12  960  573]
 [  99    8  250 6779]]",2,1.0,0.0,True,423.93855690956116,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.005_nesterov-092313/
relu,momentum_0.001_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,1.0,0.79,1.0,0.79,1.0,0.79,"[[ 373    4   94  259]
 [  53   16   22  148]
 [ 249   17  876  558]
 [ 416    7  228 6485]]",2,1.0,0.0,True,422.9789524078369,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.001_nesterov-093231/
relu,momentum_0.01_nesterov,"[300, 150, 100]",3,momentum,0.01,1,20,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 339   12  121  258]
 [  48   27   35  129]
 [ 155   14 1040  491]
 [ 145   16  264 6711]]",2,1.0,0.0,True,423.73991680145264,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-momentum_0.01_nesterov-094148/
relu,base_arquitecture_early_stopping_2_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,9,0.95,0.76,0.95,0.77,0.95,0.76,"[[ 334    8  138  250]
 [  47   19   40  133]
 [ 211   28 1003  458]
 [ 426   22  582 6106]]",2,1.0,0.0,True,191.21311950683594,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_2_momentum_nesterov-095107/
relu,base_arquitecture_early_stopping_1.5_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,9,0.96,0.77,0.96,0.78,0.96,0.77,"[[ 371    5   85  269]
 [  61   18   27  133]
 [ 314   23  847  516]
 [ 412   11  375 6338]]",1.5,1.0,0.0,True,191.82146096229553,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_1.5_momentum_nesterov-095630/
relu,base_arquitecture_early_stopping_3_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,10,0.96,0.77,0.96,0.78,0.96,0.77,"[[ 370    8  132  220]
 [  61   20   37  121]
 [ 223   24  988  465]
 [ 444   19  467 6206]]",3,1.0,0.0,True,214.67419123649597,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture_early_stopping_3_momentum_nesterov-100157/
relu,dropout_25_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.73,0.59,0.73,0.75,0.73,0.59,"[[ 483    5  148   94]
 [ 108   17   71   43]
 [ 433   12  991  264]
 [1103    1 1710 4322]]",2,0.25,0.0,True,522.9805691242218,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_25_momentum_nesterov-100743/
relu,dropout_35_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.84,0.75,0.84,0.78,0.84,0.75,"[[ 426    3  107  194]
 [  82   20   25  112]
 [ 283   11  929  477]
 [ 560    1  602 5973]]",2,0.35,0.0,True,519.2963030338287,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_35_momentum_nesterov-101841/
