date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,averagePrecisionSK,recallSK,SMOTE
2018-05-02 12:30,vector_Average,600,300features_15minwords_10contextALL,0.3,4.45,45.48,1.87,9.93,135.75,39220,9805,MLP,71.28,0.91,0.78,"[[  40   93   90  507]
 [   6   56    5  172]
 [  25   98  593  984]
 [  14   53  137 6932]]",0.93,1.0,0.75,0.78,minority
2018-05-02 12:36,vector_Average,600,300features_15minwords_10contextALL,0.19,3.92,43.91,1.87,10.36,358.93,39220,9805,RF,296.31,1.0,0.79,"[[  98    8   43  581]
 [   3   15    3  218]
 [   3    7  544 1146]
 [   0    0   23 7113]]",0.81,0.79,0,0,minority
2018-05-02 12:39,vector_Average,600,~/GoogleNews-vectors-negative300.bin,76.86,5.43,27.83,3.64,8.17,194.66,39220,9805,MLP,70.3,0.93,0.79,"[[ 111   50  113  456]
 [  11   38   11  179]
 [  69  109  833  689]
 [  95   73  246 6722]]",0.93,0.98,0.76,0.79,minority
2018-05-02 12:45,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.52,5.1,27.77,3.77,8.07,335.93,39220,9805,RF,248.51,1.0,0.77,"[[  77    4   30  619]
 [   2   14    1  222]
 [   3    3  369 1325]
 [   0    0   18 7118]]",0.8,0.77,0,0,minority
2018-05-02 12:47,vector_Average,600,300features_15minwords_10contextALL,0.2,3.92,43.88,2.39,13.42,137.73,39220,10935,MLP,71.31,0.92,0.82,"[[  89  280  185  290]
 [   4  134   23   44]
 [  50  288 1194  506]
 [  16   48  250 7534]]",0.93,0.99,0.83,0.82,minority
2018-05-02 12:53,vector_Average,600,300features_15minwords_10contextALL,0.19,3.93,44.2,2.31,13.31,360.05,39220,10935,RF,293.57,1.0,0.89,"[[ 422   60  151  211]
 [  11   99   31   64]
 [ 144   36 1394  464]
 [   2    7   54 7785]]",0.88,0.89,0,0,minority
2018-05-02 12:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.35,5.5,28.3,4.08,9.85,162.38,39220,10935,MLP,70.82,0.93,0.82,"[[ 149  118  190  387]
 [   8   98   29   70]
 [  62   79 1120  777]
 [  17   26  207 7598]]",0.94,0.99,0.81,0.82,minority
2018-05-02 13:02,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.64,5.06,27.92,3.93,9.57,337.1,39220,10935,RF,247.7,1.0,0.84,"[[ 233   53  136  422]
 [   5   75   39   86]
 [  50   34 1125  829]
 [   5   10   92 7741]]",0.83,0.84,0,0,minority
2018-05-02 15:44,vector_Average,600,300features_15minwords_10contextALL,0.32,4.25,47.8,2.0,10.91,141.84,39220,9805,MLP,73.85,0.92,0.78,"[[  22  113  119  476]
 [   3   64   11  161]
 [  17  133  730  820]
 [   9   75  207 6845]]",0.93,1.0,0.75,0.78,minority
2018-05-02 15:50,vector_Average,600,300features_15minwords_10contextALL,0.19,3.95,46.11,2.05,10.75,359.97,39220,9805,RF,294.37,1.0,0.79,"[[  97    5   45  583]
 [   3   14    3  219]
 [   2    6  549 1143]
 [   0    0   22 7114]]",0.81,0.79,0,0,minority
2018-05-02 15:53,vector_Average,600,~/GoogleNews-vectors-negative300.bin,45.61,6.32,31.02,3.95,8.96,170.57,39220,9805,MLP,72.26,0.93,0.78,"[[  68   65  136  461]
 [   2   41   17  179]
 [  48  112  857  683]
 [  60   74  351 6651]]",0.93,0.99,0.75,0.78,minority
2018-05-02 15:59,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.43,5.9,30.98,3.81,8.53,349.75,39220,9805,RF,255.94,1.0,0.77,"[[  80    6   29  615]
 [   1   15    2  221]
 [   4    3  374 1319]
 [   0    0   13 7123]]",0.8,0.77,0,0,minority
2018-05-02 16:01,vector_Average,600,300features_15minwords_10contextALL,0.21,4.3,46.05,2.37,14.9,145.62,39220,10935,MLP,75.23,0.92,0.82,"[[  94  310  199  241]
 [   1  136   22   46]
 [  40  357 1195  446]
 [  29   78  252 7489]]",0.93,0.99,0.83,0.82,minority
2018-05-02 16:08,vector_Average,600,300features_15minwords_10contextALL,0.19,4.11,46.45,2.3,14.67,373.86,39220,10935,RF,303.57,1.0,0.88,"[[ 429   54  148  213]
 [   8   99   40   58]
 [ 130   48 1376  484]
 [   3    8   69 7768]]",0.88,0.88,0,0,minority
2018-05-02 16:11,vector_Average,600,~/GoogleNews-vectors-negative300.bin,43.85,5.69,31.27,4.02,10.64,172.64,39220,10935,MLP,74.83,0.92,0.81,"[[ 143  176  157  368]
 [   3  108   27   67]
 [  67  120 1112  739]
 [  24   48  261 7515]]",0.93,0.99,0.8,0.81,minority
2018-05-02 16:17,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.86,5.35,30.48,4.56,11.06,357.74,39220,10935,RF,261.12,1.0,0.84,"[[ 243   44  124  433]
 [   1   78   41   85]
 [  61   39 1096  842]
 [   4    4   61 7779]]",0.83,0.84,0,0,minority
