date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-16 12:46,vector_Average,600,~/GoogleNews-vectors-negative300.bin,79.96,5.93,32.68,4.8,9.6,275.88,39220,9805,MLP,141.55,0.8,0.76,"[[   2    0   61  667]
 [   0    0   10  229]
 [   0    0  499 1201]
 [   2    0  225 6909]]",0.7,0.76,
2018-05-16 12:51,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.68,5.72,32.66,4.29,9.93,266.2,39220,9805,MLP,167.61,0.85,0.77,"[[  26    0   71  633]
 [   1    0   11  227]
 [  10    0  595 1095]
 [  12    0  201 6923]]",0.72,0.77,
2018-05-16 12:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.22,6.16,32.59,4.21,9.16,320.87,39220,9805,MLP,223.33,0.83,0.76,"[[   4    0   52  674]
 [   2    0    8  229]
 [  15    0  497 1188]
 [   8    0  191 6937]]",0.68,0.76,
2018-05-16 13:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,45.09,6.58,32.02,4.5,9.28,397.22,39220,9805,MLP,298.49,0.88,0.79,"[[ 114    0  148  468]
 [   6    0   22  211]
 [  55    0  905  740]
 [  68    0  336 6732]]",0.75,0.79,
2018-05-16 13:10,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.02,6.09,32.78,4.35,8.95,435.18,39220,9805,MLP,337.73,0.91,0.8,"[[ 152    0  147  431]
 [  16    0   19  204]
 [  92    0  887  721]
 [  82    0  251 6803]]",0.76,0.8,
2018-05-16 13:19,vector_Average,600,~/GoogleNews-vectors-negative300.bin,45.1,6.5,32.43,4.66,10.0,521.17,39220,9805,MLP,421.23,0.92,0.8,"[[ 234    0  120  376]
 [  45    0   29  165]
 [ 217    0  866  617]
 [ 153    0  208 6775]]",0.77,0.8,
2018-05-16 13:24,vector_Average,600,~/GoogleNews-vectors-negative300.bin,45.57,6.63,33.58,4.69,10.04,341.48,39220,9805,MLP,239.7,0.84,0.77,"[[  18    0   55  657]
 [   2    0   10  227]
 [  14    0  526 1160]
 [  13    0  152 6971]]",0.71,0.77,
2018-05-16 13:30,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.88,6.81,34.03,4.76,9.36,361.85,39220,9805,MLP,260.74,0.8,0.75,"[[   2    0   35  693]
 [   1    0    6  232]
 [   0    0  393 1307]
 [   5    0  144 6987]]",0.69,0.75,
2018-05-16 13:36,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.33,6.67,33.64,5.13,9.81,344.46,39220,9805,MLP,243.61,0.74,0.73,"[[   2    0    2  726]
 [   2    0    1  236]
 [   4    0  116 1580]
 [   9    0  116 7011]]",0.63,0.73,
2018-05-16 13:42,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.38,7.15,31.89,4.82,9.95,359.64,39220,9805,MLP,260.05,0.83,0.77,"[[   5    0   54  671]
 [   0    0    9  230]
 [   2    0  542 1156]
 [   3    0  176 6957]]",0.72,0.77,
