date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-19 12:55,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.76,5.36,28.91,3.47,7.85,584.04,39220,9805,MLP,476.68,0.97,0.78,"[[ 365   14  146  205]
 [  66   22   47  104]
 [ 279   33  990  398]
 [ 379   26  461 6270]]",0.79,0.78,all
2018-05-19 13:04,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.7,6.47,30.63,3.99,8.84,590.17,39220,9805,MLP,478.0,0.41,0.22,"[[ 190  294  162   84]
 [  23  177   25   14]
 [ 132  462  999  107]
 [ 749 2258 3301  828]]",0.64,0.22,all
2018-05-19 13:14,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.74,6.08,29.62,4.83,8.74,586.43,39220,9805,MLP,476.34,0.64,0.52,"[[ 472  119  115   24]
 [  78  121   25   15]
 [ 413  300  915   72]
 [1585  583 1331 3637]]",0.79,0.52,all
2018-05-19 13:25,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.98,5.6,28.44,4.11,8.54,624.25,39220,9805,MLP,517.46,0.83,0.74,"[[ 501   36  113   80]
 [  81   68   27   63]
 [ 441   89 1003  167]
 [ 710  116  620 5690]]",0.82,0.74,all
2018-05-19 13:45,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.44,5.65,29.59,4.29,8.82,543.17,39220,9805,MLP,431.02,0.97,0.8,"[[ 342   11  143  234]
 [  58   23   28  130]
 [ 228   28 1022  422]
 [ 261   25  401 6449]]",0.79,0.8,all
2018-05-19 13:53,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.91,6.14,30.29,4.1,8.29,501.22,39220,9805,MLP,391.59,0.78,0.66,"[[ 516   12   86  116]
 [ 114   37   32   56]
 [ 520   30  863  287]
 [1324   27  743 5042]]",0.78,0.66,all
2018-05-19 14:02,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.91,6.63,29.79,4.74,8.35,544.88,39220,9805,MLP,433.94,0.9,0.77,"[[ 450   12   89  179]
 [  73   32   21  113]
 [ 388   32  900  380]
 [ 511   21  409 6195]]",0.8,0.77,all
2018-05-19 14:11,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.91,6.43,28.23,4.92,8.8,541.25,39220,9805,MLP,431.81,0.94,0.79,"[[ 416   10  106  198]
 [  50   22   27  140]
 [ 279   17  961  443]
 [ 356   11  426 6343]]",0.79,0.79,all
2018-05-19 15:53,vector_Average,600,~/GoogleNews-vectors-negative300.bin,46.81,6.33,30.55,4.62,8.9,487.71,39220,9805,MLP,371.01,0.87,0.78,"[[ 362    4  117  247]
 [  52   17   25  145]
 [ 274   14  942  470]
 [ 332    9  436 6359]]",0.78,0.78,all
2018-05-19 16:02,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.05,5.9,29.11,3.79,8.26,516.74,39220,9805,MLP,408.86,0.92,0.79,"[[ 450    8   82  190]
 [  66   22   20  131]
 [ 356   20  920  404]
 [ 451   11  355 6319]]",0.8,0.79,all
2018-05-19 16:10,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.74,5.87,29.04,4.49,9.02,484.31,39220,9805,MLP,374.48,0.95,0.79,"[[ 394   10  106  220]
 [  58   24   28  129]
 [ 276   24  987  413]
 [ 366   18  376 6376]]",0.8,0.79,all
2018-05-19 16:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,46.42,5.91,29.72,4.49,9.12,486.52,39220,9805,MLP,370.02,0.97,0.8,"[[ 316   19  123  272]
 [  31   29   30  149]
 [ 149   51  935  565]
 [ 221   39  354 6522]]",0.78,0.8,all
2018-05-19 17:09,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.78,6.48,30.56,4.94,9.13,798.52,39220,9805,MLP,684.84,0.97,0.8,"[[ 372   13   96  249]
 [  64   25   22  128]
 [ 252   35  930  483]
 [ 288   23  319 6506]]",0.8,0.8,all
2018-05-19 17:15,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.54,6.47,30.44,4.87,9.63,349.47,39220,9805,MLP,236.1,0.99,0.79,"[[ 306    8  106  310]
 [  36   15   33  155]
 [ 165   22  877  636]
 [ 195   27  343 6571]]",0.77,0.79,all
2018-05-19 17:22,vector_Average,600,~/GoogleNews-vectors-negative300.bin,43.32,6.76,31.37,4.62,8.87,399.53,39220,9805,MLP,285.84,0.99,0.79,"[[ 311   15  123  281]
 [  41   23   44  131]
 [ 187   34  971  508]
 [ 223   24  403 6486]]",0.78,0.79,all
2018-05-19 17:28,vector_Average,600,~/GoogleNews-vectors-negative300.bin,43.19,5.99,30.11,4.76,9.15,378.88,39220,9805,MLP,265.95,0.93,0.8,"[[ 179    2  139  410]
 [  15   15   39  170]
 [  52   13  917  718]
 [  78    3  306 6749]]",0.78,0.8,all
2018-05-19 17:34,vector_Average,600,~/GoogleNews-vectors-negative300.bin,43.22,6.06,30.29,5.14,8.36,327.97,39220,9805,MLP,215.75,0.99,0.79,"[[ 359    4  107  260]
 [  48   21   19  151]
 [ 213   20  889  578]
 [ 251    2  359 6524]]",0.79,0.79,all
