date,executionDesc,textModelFeatures,modelName,modelExecutionTime,trainInstances,testInstances,modelTrained,totalExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,SMOTE
2018-06-26 00:07,vector_Average,600,~/GoogleNews-vectors-negative300.bin,340.41,39220,9805,MLP,461.93,0.89,0.74,0.89,0.82,0.89,0.74,"[[ 513   31  105   81]
 [  93   59   31   56]
 [ 402   72 1033  193]
 [ 718  136  609 5673]]",all
2018-06-26 16:50,vector_Average,600,~/GoogleNews-vectors-negative300.bin,331.45,39220,9805,MLP,493.62,0.97,0.79,0.97,0.8,0.97,0.79,"[[ 379    8  121  222]
 [  61   20   39  119]
 [ 247   32 1050  371]
 [ 335   27  450 6324]]",all
2018-06-26 16:58,vector_Average,600,~/GoogleNews-vectors-negative300.bin,326.74,39220,9805,MLP,445.85,0.92,0.75,0.92,0.77,0.92,0.75,"[[ 367   19  124  220]
 [  60   31   34  114]
 [ 345   56  900  399]
 [ 534   43  537 6022]]",all
2018-06-26 17:05,vector_Average,600,~/GoogleNews-vectors-negative300.bin,324.98,39220,9805,MLP,447.25,0.84,0.68,0.84,0.76,0.84,0.68,"[[ 407   34   88  201]
 [  72   40   27  100]
 [ 411   74  866  349]
 [ 944  124  690 5378]]",all
2018-06-26 17:13,vector_Average,600,~/GoogleNews-vectors-negative300.bin,323.71,39220,9805,MLP,444.95,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 364    7  105  254]
 [  55   26   31  127]
 [ 213   24  950  513]
 [ 181   10  271 6674]]",all
2018-06-26 17:20,vector_Average,600,~/GoogleNews-vectors-negative300.bin,327.92,39220,9805,MLP,456.9,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 334   10  117  269]
 [  45   25   32  137]
 [ 190   30 1039  441]
 [ 201   28  322 6585]]",all
2018-06-26 17:28,vector_Average,600,~/GoogleNews-vectors-negative300.bin,332.29,39220,9805,MLP,456.71,1.0,0.81,1.0,0.81,1.0,0.81,"[[ 414    9  103  204]
 [  57   27   41  114]
 [ 234   24 1034  408]
 [ 290   23  348 6475]]",all
2018-06-26 17:36,vector_Average,600,~/GoogleNews-vectors-negative300.bin,331.94,39220,9805,MLP,453.71,0.97,0.78,0.97,0.79,0.97,0.78,"[[ 386   13   85  246]
 [  65   21   18  135]
 [ 318   41  877  464]
 [ 359   32  351 6394]]",all
2018-06-26 17:41,vector_Average,600,~/GoogleNews-vectors-negative300.bin,220.49,39220,9805,MLP,343.59,0.93,0.75,0.93,0.79,0.93,0.75,"[[ 429   18  125  158]
 [  93   30   29   87]
 [ 359   53  975  313]
 [ 635   45  558 5898]]",all
2018-06-26 17:47,vector_Average,600,~/GoogleNews-vectors-negative300.bin,205.08,39220,9805,MLP,327.76,0.9,0.75,0.91,0.77,0.9,0.75,"[[ 356   39  103  232]
 [  54   38   28  119]
 [ 296   77  907  420]
 [ 487   82  496 6071]]",all
