Headline,Body ID,Stance
police find mass graf least num body near mexico town num student disappear police clash,712,unrelated
hundred palestinian flee flood gaza israel open dam,158,agree
christian bale pass role steve job actor reportedly felt right part,137,unrelated
hbo apple talk num month apple tv stream service launch april,1034,unrelated
spider burrow tourist stomach chest,1923,disagree
nasa confirm earth experience num day total darkness december fake news story go viral,154,agree
accuse boston marathon bomber severely injured prison may never walk talk,962,unrelated
identity isi terrorist know jihadi john reportedly reveal,2033,unrelated
banksy arrest real identity reveal hoax last year,1739,agree
british aid worker confirm murder isi,882,unrelated
gateway pundit,2327,discuss
woman detain lebanon al baghdadi wife iraq say,1468,agree
kidnap nigerian schoolgirl government claim ceasefire deal boko haram bring miss girl home,1003,unrelated
high school kid make num million trading stock,2132,unrelated
soon marijuana may lead ticket arrest new york,47,discuss
vandal add rude paint job num numm bugatti luckily owner turn hoax,615,unrelated
boko haram deny nigeria cease fire claim,2463,discuss
robert plant rip num million contract,295,agree
n korea kim leg injury control,570,unrelated
isil beheads american photojournalist iraq,608,discuss
tropical spider burrow man skin scar,1500,unrelated
boko haram ceasefire ignore violence flare borno state,1681,discuss
nbc tom brokaw reportedly want brian williams fire fabricate iraq helicopter story,1545,unrelated
would take bite world oldest burger men keep quarter pounder buy num year ago friend never show meet,1196,unrelated
net extra back dead catholic priest claim god female,1014,agree
rumor debunk robocop style robot patrol microsoft campus,633,agree
luke somers die rescue attempt sister say yemeni defense ministry say unnamed u hostage free,56,unrelated
christian bale exit steve job movie exclusive,1658,unrelated
microsoft try robot security guard silicon valley campus,2327,unrelated
report christian bale bail steve job movie,1157,discuss
islamic militant post video claim show behead u journalist,132,unrelated
insurgent kill nigeria despite allege truce boko haram,1896,discuss
texas turkey farm contaminate ebola num num holiday turkey infect,2344,unrelated
see isi militant catch try cross border texas congressman claim,625,unrelated
thanks uncle sam weapon airdrop isi taunt america intercept weapon meant kurd,2176,unrelated
report isi leader abu bakr al baghdadi assassinate u airstrike,394,discuss
fisherman land num stone catfish could biggest world hook,2161,agree
would rapist penis sever angry mob,1040,unrelated
michael zehaf bibeau ottawa shooter suspect identify canadian official,1251,unrelated
taylor lianne chandler michael phelps cougar girlfriend reveal,1337,unrelated
cbs detroit fan site scuttlebutt enough publish batmobile rumor,280,unrelated
nasa question whether crater nicaragua cause meteorite,534,unrelated
seth rogen woz,213,unrelated
story catholic priest die see god woman come back life almost definitely fake,1299,unrelated
expert fact need purported audio recording michael brown shoot,1481,unrelated
catholic priest dead num minute miraculously revive revelation god even shock,289,unrelated
student accidentally set college fire firework proposal,1592,agree
planetary alignment jan num num decrease gravity num minute cause partial weightlessness,2248,unrelated
rumor isi leader death debunk,1255,unrelated
banksy instagram tribute charlie hebdo victim post artist,1120,unrelated
boko haram ceasefire ignore violence flare borno state,2045,unrelated
break news isi beheads miss american journalist james wright foley warn u cease action iraq,2296,unrelated
nigeria boko haram agree ceasefire girl release,459,unrelated
pope francis turn make pet heaven comment,1905,disagree
british rapper suspect isi beheading,2295,unrelated
macaulay culkin die despite everyone say facebook,759,agree
husband break tear lose voicemail message late wife recover,2406,unrelated
bali awry,181,unrelated
islamic state leader al baghdadi dead,2036,unrelated
eggnog chug contest lead hospital stay,941,unrelated
tiger wood sell island lake laren,965,disagree
gold apple watch edition must cost num num,816,unrelated
would rapist penis sever angry mob,2106,unrelated
anna wintour rat infestation nyc vogue office kim kardashian fault,367,unrelated
update num men num woman tonight espn domestic violence panel,373,unrelated
amazon first brick mortar store say open manhattan,1934,unrelated
kim yo jong take kim jong un role north korea ill health rumor fabricate,1500,unrelated
islamic state leader family detain lebanon official say,703,discuss
u confirm death somalia terror group leader,167,unrelated
durex make pumpkin spice condom hoax debunk,1175,unrelated
islamic state beheads miss american journalist james wright foley,1034,unrelated
spider burrow australian man appendix scar video,724,unrelated
indian civil servant sack num year sickie,2441,agree
batmobile steal cop,1338,unrelated
michael brown shoot audio caught tape,2248,unrelated
break news isi beheads miss american journalist james wright foley warn u cease action iraq,1040,unrelated
biological warfare horizon isi soldier may infect ebola,527,unrelated
moment michael brown shot dead caught audio record fbi hand potentially damn tape eleven shot fire include final volley kill shot,32,discuss
saudi fatwa ban snowman trigger heat debate,26,unrelated
paul rudd viral video hero tackle gay basher dallas,487,unrelated
soldier gunman kill shoot incident near canadian parliament,1089,agree
everyone chill banksy arrest,1898,unrelated
update soldier gunman die ottawa rampage identify,205,unrelated
new audio show michael brown shot num time,1435,unrelated
islamic state militant catch u border patrol,190,unrelated
report audio reveals pause gunshot michael brown shot,1808,unrelated
canadian official identifies dead ottawa gunman michael zehaf bibeau,2246,discuss
mystery woman behind richest hand internet reveal former pornstar make numm year unwrap disney toy youtube,1315,agree
apple num inch macbook air detail emerge device could thinner lighter current model,1362,discuss
jihadi john identity reveal mohammed emwazi live,2033,unrelated
militant jihadi john name mohammed emwazi london,472,unrelated
wife son isil leader abu bakr al baghdadi detain lebanon border,1125,unrelated
islamic state militant allegedly use chlorine gas iraqi security force,1590,discuss
former pga tour player tiger wood suspend drug test failure,2240,unrelated
zack snyder responds fake steal batmobile report,702,unrelated
ottawa investigates report isi capture canadian israeli woman,1165,unrelated
priest die num minute say meet god woman,1720,unrelated
mum face real life sophie choice try sell son fund daughter care,1358,unrelated
fidel castro dead yes cuban leader alive death rumor prove false,1832,unrelated
cnn broadcast purport audio contain gunshot fell michael brown jr leader celebrity fill pew teen funeral,346,unrelated
magic mushroom find buckingham palace alan titchmarsh,1374,unrelated
video show american journalist behead believed real official family say,2404,unrelated
canadian soldier shot ottawa war memorial report,1744,unrelated
