SentenceCount,MaxSentenceLength
114,11
257,13
51,10
291,14
566,13
208,13
200,14
142,11
284,16
367,14
297,13
171,14
150,13
408,13
106,11
231,12
43,12
187,14
384,14
195,13
260,36
87,13
150,13
149,11
170,13
284,16
63,13
215,17
292,14
236,12
83,11
66,13
153,16
367,16
110,10
103,12
124,13
180,12
122,13
144,12
312,13
144,13
159,11
155,14
229,14
170,36
437,14
113,11
47,12
281,13
104,13
243,14
171,13
187,14
124,13
156,13
198,13
51,10
208,14
175,14
205,15
66,13
292,14
328,13
238,14
247,13
387,16
200,13
539,13
108,14
176,12
473,11
301,12
2927,14
208,13
243,12
64,11
152,13
190,13
69,10
223,13
673,16
115,11
269,17
44,10
294,12
673,16
124,14
637,16
97,16
138,11
80,13
13,10
90,13
321,15
122,11
144,13
396,14
206,11
101,11
52,11
297,13
384,14
277,16
195,14
38,12
124,14
177,11
188,13
130,14
113,18
330,13
243,12
459,16
243,14
408,13
144,13
158,13
421,12
182,12
134,12
93,12
141,13
125,13
209,14
253,14
124,14
172,13
150,12
144,13
110,12
117,13
497,14
413,14
297,13
831,14
179,12
8,7
47,11
72,16
56,11
29,9
99,12
264,14
95,14
269,13
285,17
84,11
280,13
110,12
399,19
192,12
257,13
181,13
6,8
69,10
349,15
69,10
201,13
33,10
260,12
96,10
250,13
114,11
209,17
295,13
97,16
257,13
198,11
103,12
324,12
309,14
191,13
124,11
470,14
99,12
188,16
202,14
91,10
213,14
79,15
144,13
80,13
70,11
97,13
507,13
237,14
224,12
896,14
193,12
307,13
497,14
69,10
284,16
128,17
48,11
170,13
103,12
236,13
126,12
237,12
103,12
146,15
213,14
456,18
538,14
182,13
302,13
259,13
61,13
228,11
167,15
145,12
49,12
173,13
184,15
172,13
352,13
138,13
332,14
106,12
201,13
176,15
217,14
205,15
334,13
243,12
303,14
125,12
51,10
29,9
125,12
189,11
200,14
137,13
314,12
113,12
101,13
252,13
208,13
146,14
98,11
124,11
260,13
460,15
29,9
51,12
129,13
48,11
80,13
122,11
309,12
122,12
182,13
125,12
229,13
94,12
232,12
9,9
324,12
107,13
380,15
146,10
38,12
257,20
152,12
49,12
200,14
307,13
75,12
403,14
322,13
96,12
198,12
154,13
232,12
290,13
51,10
209,14
319,13
18,13
326,14
247,13
114,11
243,14
165,13
72,11
587,14
203,12
151,14
559,13
71,12
76,12
476,14
137,12
369,14
202,16
120,14
243,14
217,14
460,14
231,13
206,13
60,11
304,15
119,12
231,12
191,13
72,11
637,16
182,13
229,14
319,13
410,13
103,11
455,13
148,11
110,12
143,12
195,12
7,7
257,13
133,13
320,13
179,16
637,16
137,14
386,14
333,13
306,36
257,13
322,13
470,14
186,13
22,15
174,11
303,14
128,13
72,16
79,15
96,10
223,13
95,14
55,11
192,12
171,13
155,11
896,14
153,11
19,13
292,14
119,12
180,38
285,17
33,11
170,13
110,11
188,14
234,13
214,12
99,12
181,12
2927,14
110,10
238,16
349,15
211,13
538,14
146,10
207,13
171,13
18,13
88,13
145,13
137,12
365,17
182,13
269,17
247,13
127,10
183,12
384,14
460,14
228,14
124,14
125,12
148,12
19,13
248,13
12,10
91,13
186,14
154,13
408,13
12,10
216,13
6,9
103,12
309,13
275,12
623,12
100,14
384,14
158,13
200,14
291,13
202,14
80,13
148,12
101,11
292,14
1047,15
174,12
251,13
114,14
236,13
104,13
264,20
151,11
69,13
292,14
330,13
232,12
201,12
43,12
133,11
107,14
153,11
99,12
94,12
163,12
224,12
117,10
211,13
270,17
137,12
77,13
181,12
219,12
130,14
126,11
259,13
144,13
292,14
544,13
387,16
159,11
587,14
217,14
220,13
159,11
129,13
43,12
150,13
126,12
211,13
249,12
84,11
213,12
123,10
459,16
658,16
159,11
380,14
258,14
143,12
219,14
22,12
260,13
428,14
111,10
172,13
168,12
238,14
133,13
185,13
247,14
96,13
80,11
205,12
181,13
195,13
333,15
89,13
96,10
435,15
426,13
124,11
152,14
202,13
182,14
9,8
142,14
449,13
265,13
321,15
320,16
124,13
108,13
309,13
99,14
119,13
76,20
532,14
96,10
177,11
566,13
283,12
319,13
234,13
103,12
238,14
297,13
169,13
421,12
284,16
189,13
349,15
151,14
6,9
923,15
117,11
126,12
129,12
6,8
3,7
284,15
179,14
213,14
134,12
110,12
293,13
243,14
69,10
129,12
223,13
644,13
8,9
108,13
7,10
96,12
157,13
234,13
160,13
243,12
287,12
377,21
65,13
115,9
138,11
196,11
201,13
142,11
147,15
158,13
315,13
132,19
42,8
243,14
211,13
183,12
157,11
125,13
103,12
201,13
179,14
113,13
44,10
94,12
117,11
203,10
125,14
249,13
304,15
133,13
437,14
231,12
331,15
158,13
312,13
123,12
468,14
321,15
201,13
253,13
133,11
183,13
138,11
107,13
43,11
193,13
122,11
211,13
572,15
209,14
238,14
195,14
129,11
88,13
209,13
249,12
158,14
206,13
261,12
125,14
243,14
47,11
197,12
330,13
296,14
232,12
75,12
237,12
110,11
110,12
102,11
128,12
181,12
255,14
200,13
209,17
349,15
182,13
191,13
129,11
124,12
141,13
216,13
134,11
124,11
217,12
159,13
365,13
223,14
126,11
117,11
144,13
94,12
503,12
79,10
125,12
107,11
126,12
94,12
116,12
29,9
341,13
57,10
320,13
331,12
247,14
117,11
69,12
245,13
209,17
201,12
249,12
175,12
63,13
225,14
196,12
126,12
1395,13
506,22
385,18
186,12
257,13
148,12
213,14
341,13
150,13
288,14
130,13
182,14
197,12
590,14
257,20
84,11
384,14
65,15
180,12
277,16
915,13
146,15
24,9
314,12
195,14
238,13
76,20
197,12
380,14
330,13
12,10
187,13
150,12
134,14
134,12
232,14
243,12
122,12
142,14
367,17
352,17
421,12
144,13
402,14
357,17
152,12
11,10
307,13
83,11
120,14
302,12
158,13
225,14
130,13
96,13
199,13
182,12
157,11
658,16
134,12
116,11
117,10
179,14
201,13
155,13
210,13
303,14
119,13
145,14
188,13
302,13
138,13
153,12
174,12
157,13
143,14
170,13
238,13
231,13
232,14
280,13
91,15
76,20
349,15
333,15
219,12
209,17
174,12
173,13
288,14
195,13
110,13
168,12
831,14
258,14
49,11
124,11
243,12
201,12
257,20
514,14
637,16
305,14
349,15
186,12
182,13
109,13
146,10
117,14
127,13
292,14
673,16
195,14
126,11
202,16
215,17
127,10
124,12
243,12
284,16
680,16
99,14
142,13
14,10
368,14
91,15
133,13
590,14
302,14
231,12
238,14
223,14
365,13
623,12
119,12
117,11
200,14
47,11
252,13
151,14
104,13
757,15
497,14
167,15
323,12
249,12
538,14
18,13
317,13
248,14
85,10
103,11
223,13
200,14
115,11
168,11
65,15
124,13
489,13
110,12
6,9
125,13
118,13
88,13
149,11
284,15
83,11
200,14
196,12
189,11
257,13
182,13
673,16
193,12
539,13
86,12
234,13
22,18
128,12
158,13
77,13
129,13
65,15
172,13
377,21
14,8
349,15
186,12
292,14
201,13
126,12
539,13
173,12
124,11
161,13
199,13
71,12
76,12
152,12
459,16
250,13
182,13
89,13
193,13
190,13
216,13
333,14
209,13
95,11
12,10
198,13
396,14
260,13
192,12
232,12
134,15
201,12
183,13
76,20
225,13
142,14
106,12
247,13
18,13
106,12
209,12
333,16
87,13
315,13
182,13
149,11
147,14
158,14
209,12
80,13
240,14
124,11
174,12
516,14
169,12
150,13
14,10
96,10
76,12
247,12
100,14
150,13
274,17
333,15
105,14
163,12
228,14
142,14
44,10
175,12
238,16
230,12
559,13
265,13
327,11
209,13
89,13
198,13
285,13
157,10
201,13
342,13
124,11
133,13
70,11
73,12
129,13
538,14
191,13
109,14
153,13
80,11
94,12
201,13
72,16
89,10
195,12
426,13
170,13
76,13
369,14
209,13
165,13
117,11
309,14
180,12
103,12
275,13
58,12
309,14
231,13
258,14
108,11
110,13
285,13
169,13
138,11
171,13
246,14
326,14
489,13
267,12
128,17
539,13
306,36
343,16
50,10
265,13
185,12
280,13
365,13
198,13
95,11
287,12
121,15
531,15
119,13
150,10
169,12
124,13
162,12
104,12
176,16
84,11
104,13
217,14
915,13
380,14
378,13
70,10
229,14
205,15
341,12
157,13
176,13
276,13
241,12
106,12
44,10
191,13
124,11
209,13
201,13
96,13
226,13
402,14
134,14
43,12
295,13
271,13
184,15
257,13
64,11
176,13
126,12
68,10
237,14
126,12
292,14
267,12
110,11
354,13
215,17
106,13
104,12
239,13
156,13
106,12
294,12
90,13
303,14
157,11
113,18
229,14
232,13
605,13
231,12
566,13
497,14
234,13
201,13
238,12
76,13
127,10
203,12
205,15
10,9
195,14
208,14
155,13
49,11
136,11
349,15
89,13
232,12
128,12
151,14
48,10
225,14
10,8
134,14
141,13
228,14
219,12
133,12
128,13
44,10
190,13
206,13
155,11
325,14
367,17
154,13
260,12
135,11
70,11
232,13
122,11
341,12
58,12
155,13
117,14
8,9
267,12
216,16
33,11
1015,14
344,14
352,17
152,13
269,14
9,8
314,12
150,13
110,13
214,12
244,13
253,13
658,16
148,11
64,11
152,13
117,11
126,12
489,13
70,11
134,14
99,14
249,12
338,12
153,11
146,10
77,13
33,10
128,13
96,12
11,11
126,12
896,14
33,11
150,12
144,13
202,16
68,10
105,13
538,14
117,11
288,11
128,17
72,11
232,12
209,13
108,11
108,14
177,13
342,13
66,13
6,8
3,7
155,13
228,11
87,9
367,17
410,13
128,12
174,12
673,16
91,15
150,10
153,12
191,25
182,13
257,13
193,12
91,15
129,13
191,13
280,13
128,12
192,12
257,13
96,10
7,7
219,12
179,15
158,13
154,12
121,11
99,14
621,13
157,17
201,16
76,12
303,14
196,14
146,14
572,15
152,12
84,11
292,14
151,13
172,13
122,11
530,12
635,14
315,12
42,8
208,15
72,11
164,13
387,13
187,14
408,13
179,14
470,14
188,12
230,12
269,17
142,14
75,12
126,13
149,11
539,13
367,17
198,13
238,16
187,14
456,18
247,13
100,11
6,8
225,14
134,12
140,13
131,13
326,14
321,15
137,12
262,12
559,13
103,12
290,13
33,11
314,12
231,13
285,13
314,12
445,15
195,14
333,16
236,13
126,13
201,12
236,12
106,12
344,14
102,11
91,15
102,11
76,12
294,12
171,13
167,15
138,13
96,10
285,13
7,11
210,13
127,12
225,13
182,14
257,20
132,12
114,11
201,13
459,16
84,11
80,11
195,14
213,14
126,16
183,14
201,15
658,16
103,12
644,13
88,13
159,13
95,11
160,13
367,17
156,13
105,13
80,11
176,13
76,20
333,14
91,13
321,15
247,14
187,16
175,12
408,13
449,13
65,9
198,12
104,12
896,14
285,13
89,10
110,12
117,11
201,12
243,14
270,12
590,14
58,12
126,12
126,11
234,13
216,16
237,14
182,14
158,14
146,14
281,14
187,16
923,15
110,12
150,13
201,16
191,13
157,11
564,13
455,13
153,14
251,13
111,10
243,14
246,14
198,11
182,12
181,25
296,14
470,14
107,12
110,13
60,11
201,16
125,13
113,10
90,13
182,13
70,11
349,13
152,13
76,12
127,12
156,13
162,12
186,14
176,12
194,13
191,13
292,14
72,11
321,12
96,10
380,15
72,11
272,13
152,12
306,36
117,11
176,12
137,12
80,13
106,12
720,16
437,14
309,12
231,13
138,13
158,13
238,13
123,12
198,11
33,10
103,12
60,11
154,13
182,12
246,13
99,12
108,11
198,13
195,13
231,13
225,14
126,12
202,13
88,13
108,14
309,13
972,15
292,14
330,13
65,15
36,10
243,14
158,13
179,14
123,12
171,13
225,13
115,13
152,12
358,13
396,14
164,12
151,14
187,13
193,12
152,13
70,10
145,13
228,14
107,12
182,12
103,11
170,13
97,13
126,11
103,12
275,13
403,14
114,15
177,11
276,13
114,14
327,13
80,11
171,13
41,14
122,13
165,13
183,14
183,13
148,12
6,9
142,14
361,13
141,12
201,13
200,14
481,15
251,14
228,14
224,12
275,13
143,12
238,16
245,13
225,13
91,11
125,12
92,13
179,15
