SentenceCount,MaxSentenceLength
1,15
1,8
1,11
1,5
1,14
1,8
1,8
1,6
1,13
1,8
2,6
1,7
1,6
2,5
1,5
1,6
1,8
1,12
1,18
1,9
1,8
1,15
1,7
1,7
3,8
1,10
1,12
3,9
1,9
1,6
1,9
1,8
1,9
1,7
1,3
1,7
1,12
1,8
1,7
1,7
1,5
1,7
1,9
1,6
1,6
1,6
1,10
1,8
1,14
1,7
1,7
1,9
1,7
1,7
1,6
1,15
1,8
1,21
1,7
1,9
1,8
1,7
1,8
3,5
1,9
1,16
1,13
1,7
1,11
1,10
1,10
1,7
1,8
1,8
1,12
1,11
2,10
1,7
1,10
1,7
1,8
1,8
1,9
1,9
1,7
1,9
1,7
1,8
1,9
1,6
1,9
1,6
3,10
1,9
1,8
3,6
1,7
1,8
1,5
1,7
1,6
1,7
1,7
1,20
1,11
1,9
1,6
1,7
1,5
2,10
1,8
1,7
1,9
1,6
1,7
1,7
1,9
1,13
1,7
3,8
1,7
1,8
3,9
1,9
2,4
2,7
1,6
1,6
1,7
1,15
1,8
1,7
1,9
1,6
1,10
1,7
1,9
1,9
3,10
1,8
1,5
1,12
1,7
1,17
1,6
1,8
1,7
1,10
1,12
1,7
1,9
1,10
1,8
1,7
1,8
1,7
1,5
1,6
1,9
1,21
1,5
1,10
1,8
1,8
1,8
1,6
1,8
1,7
1,8
1,8
1,8
1,13
1,9
1,7
1,5
1,6
2,4
1,10
1,7
1,9
1,3
1,10
1,6
1,6
1,8
1,9
1,20
1,9
1,8
1,9
1,7
1,6
1,6
1,8
1,5
3,5
1,11
1,5
3,5
1,7
1,10
1,10
1,8
1,7
1,5
1,8
2,3
1,7
1,5
1,5
2,12
1,3
1,9
1,13
1,10
1,8
1,7
1,10
1,6
1,7
1,8
1,8
1,8
1,7
1,7
1,5
1,14
1,8
1,9
1,5
2,13
1,6
1,14
1,9
1,10
1,11
1,9
1,10
1,3
1,15
1,7
1,13
1,14
1,8
1,9
1,10
1,9
1,10
1,9
1,7
1,5
1,7
1,8
1,14
1,11
1,8
1,9
1,7
1,7
1,9
1,7
1,5
1,9
1,11
1,7
1,8
1,8
1,7
1,10
1,3
1,10
1,8
1,9
1,8
1,11
1,8
1,7
1,9
1,8
1,10
1,9
1,9
2,13
1,2
1,8
1,5
1,8
1,11
1,7
1,8
1,7
1,10
1,9
1,7
1,8
1,8
1,6
1,8
3,10
1,9
3,5
1,12
1,2
1,7
1,7
1,8
1,9
1,3
3,7
1,5
1,5
1,7
1,7
1,10
1,10
1,7
1,6
1,9
1,8
1,12
1,7
1,8
1,8
1,6
1,8
1,8
1,10
1,14
